address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
366 REGENT ST,PA,CAMP HILL,17011,1446,13.0,8.0,,X,455144060,125655,2023B
364 REGENT ST,PA,CAMP HILL,17011,1120,13.0,4.0,,X,455144064,125655,2023B
2937 CUMBERLAND BLVD,PA,CAMP HILL,17011,2072,6.0,10.0,,X,455144068,125655,2023B
2939 CUMBERLAND BLVD,PA,CAMP HILL,17011,1288,13.0,4.0,,X,455144072,125655,2023B
360 REGENT ST,PA,CAMP HILL,17011,1424,13.0,4.0,,X,455144076,125655,2023B
354 REGENT ST,PA,CAMP HILL,17011,1798,13.0,13.0,,X,455144080,125655,2023B
350 REGENT ST,PA,CAMP HILL,17011,2244,13.0,13.0,,X,455144084,125655,2023B
2966 MAPLE RD,PA,CAMP HILL,17011,2572,13.0,4.0,,X,455144096,125655,2023B
2962 MAPLE RD,PA,CAMP HILL,17011,1579,6.0,16.0,,X,455144100,125655,2023B
2960 MAPLE RD,PA,CAMP HILL,17011,1386,13.0,4.0,,X,455144104,125655,2023B
2958 MAPLE RD,PA,CAMP HILL,17011,1492,13.0,4.0,,X,455144108,125655,2023B
2948 MAPLE RD,PA,CAMP HILL,17011,1559,13.0,4.0,,X,455144112,125655,2023B
2940 MAPLE RD,PA,CAMP HILL,17011,1945,13.0,4.0,,X,455144116,125655,2023B
2938 MAPLE RD,PA,CAMP HILL,17011,1323,6.0,16.0,,X,455144124,125655,2023B
2930 MAPLE RD,PA,CAMP HILL,17011,1265,13.0,16.0,,X,455144140,125655,2023B
2928 MAPLE RD,PA,CAMP HILL,17011,2175,13.0,16.0,,X,455144144,125655,2023B
2924 MAPLE RD,PA,CAMP HILL,17011,1655,13.0,4.0,,X,455144152,125655,2023B
2916 MAPLE RD,PA,CAMP HILL,17011,1552,6.0,16.0,,X,455144160,125655,2023B
2900 MAPLE RD,PA,CAMP HILL,17011,1695,13.0,10.0,,X,455144168,125655,2023B
338 N 29TH ST,PA,CAMP HILL,17011,2062,13.0,16.0,,X,455144172,125655,2023B
2901 BEVERLY RD,PA,CAMP HILL,17011,1846,6.0,4.0,,X,455144180,125655,2023B
2921 BEVERLY RD,PA,CAMP HILL,17011,2399,13.0,10.0,,X,455144184,125655,2023B
2929 BEVERLY RD,PA,CAMP HILL,17011,1935,6.0,16.0,,X,455144192,125655,2023B
2933 BEVERLY RD,PA,CAMP HILL,17011,1713,6.0,16.0,,X,455144200,125655,2023B
2937 BEVERLY RD,PA,CAMP HILL,17011,1616,13.0,8.0,,X,455144204,125655,2023B
363 BEVERLY RD,PA,CAMP HILL,17011,2154,6.0,10.0,,X,455144212,125655,2023B
361 BEVERLY RD,PA,CAMP HILL,17011,1765,6.0,10.0,13,X,455144220,125655,2023B
359 BEVERLY RD,PA,CAMP HILL,17011,1592,13.0,10.0,,X,455144224,125655,2023B
357 BEVERLY RD,PA,CAMP HILL,17011,1119,13.0,4.0,,X,455144228,125655,2023B
355 BEVERLY RD,PA,CAMP HILL,17011,1659,13.0,10.0,,X,455144232,125655,2023B
