address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
111 S COLLEGE ST,PA,CARLISLE,17013,2680,13.0,4.0,,X,455141432,99317,2023B
123 S COLLEGE ST,PA,CARLISLE,17013,3327,13.0,4.0,,X,455141436,99317,2023B
127 S COLLEGE ST,PA,CARLISLE,17013,2544,13.0,10.0,,X,455141440,99317,2023B
126 S WEST ST,PA,CARLISLE,17013,2661,6.0,13.0,,X,455141452,99317,2023B
120 S WEST ST,PA,CARLISLE,17013,1894,6.0,16.0,,X,455141460,99317,2023B
222 W POMFRET ST,PA,CARLISLE,17013,1698,13.0,4.0,,X,455141492,99317,2023B
238 W POMFRET ST,PA,CARLISLE,17013,1966,13.0,4.0,,X,455141504,99317,2023B
242 W POMFRET ST,PA,CARLISLE,17013,1482,6.0,4.0,,X,455141512,99317,2023B
244 W POMFRET ST,PA,CARLISLE,17013,1482,13.0,4.0,,X,455141516,99317,2023B
246 W POMFRET ST,PA,CARLISLE,17013,1482,13.0,4.0,,X,455141520,99317,2023B
248 W POMFRET ST,PA,CARLISLE,17013,1386,6.0,4.0,,X,455141524,99317,2023B
252 W POMFRET ST,PA,CARLISLE,17013,1606,13.0,4.0,,X,455141528,99317,2023B
254 W POMFRET ST,PA,CARLISLE,17013,1868,6.0,4.0,,X,455141532,99317,2023B
256 W POMFRET ST,PA,CARLISLE,17013,1240,6.0,10.0,,X,455141536,99317,2023B
258 W POMFRET ST,PA,CARLISLE,17013,1322,6.0,4.0,,X,455141540,99317,2023B
262 W POMFRET ST,PA,CARLISLE,17013,1322,6.0,4.0,,X,455141544,99317,2023B
176 W POMFRET ST,PA,CARLISLE,17013,3189,6.0,16.0,,X,455141556,99317,2023B
123 S WEST ST,PA,CARLISLE,17013,4923,6.0,10.0,,X,455141560,99317,2023B
126 S PITT ST,PA,CARLISLE,17013,1184,6.0,10.0,,X,455141572,99317,2023B
130 S PITT ST,PA,CARLISLE,17013,2128,6.0,10.0,,X,455141576,99317,2023B
122 S PITT ST,PA,CARLISLE,17013,1872,13.0,4.0,,X,455141580,99317,2023B
120 S PITT ST,PA,CARLISLE,17013,1744,6.0,4.0,,X,455141584,99317,2023B
116 S PITT ST,PA,CARLISLE,17013,1362,6.0,4.0,,X,455141588,99317,2023B
114 S PITT ST,PA,CARLISLE,17013,1414,13.0,4.0,,X,455141592,99317,2023B
104 W POMFRET ST,PA,CARLISLE,17013,1480,6.0,10.0,,X,455141604,99317,2023B
106 W POMFRET ST,PA,CARLISLE,17013,1454,6.0,4.0,,X,455141608,99317,2023B
108 W POMFRET ST,PA,CARLISLE,17013,2428,6.0,4.0,,X,455141612,99317,2023B
110 W POMFRET ST,PA,CARLISLE,17013,2456,6.0,4.0,,X,455141616,99317,2023B
116 W POMFRET ST,PA,CARLISLE,17013,1627,6.0,4.0,,X,455141624,99317,2023B
126 W POMFRET ST,PA,CARLISLE,17013,2695,6.0,4.0,,X,455141636,99317,2023B
132 W POMFRET ST,PA,CARLISLE,17013,2166,13.0,4.0,,X,455141644,99317,2023B
136 W POMFRET ST,PA,CARLISLE,17013,3038,6.0,10.0,,X,455141648,99317,2023B
140 W POMFRET ST,PA,CARLISLE,17013,2426,6.0,16.0,,X,455141652,99317,2023B
148 W POMFRET ST,PA,CARLISLE,17013,2016,13.0,4.0,,X,455141660,99317,2023B
150 W POMFRET ST,PA,CARLISLE,17013,2196,13.0,4.0,,X,455141664,99317,2023B
156 W POMFRET ST,PA,CARLISLE,17013,3669,6.0,10.0,,X,455141672,99317,2023B
160 W POMFRET ST,PA,CARLISLE,17013,2320,6.0,16.0,,X,455141676,99317,2023B
166 W POMFRET ST,PA,CARLISLE,17013,2142,6.0,10.0,,X,455141680,99317,2023B
170 W POMFRET ST,PA,CARLISLE,17013,3027,6.0,10.0,,X,455141684,99317,2023B
113 S PITT ST,PA,CARLISLE,17013,2006,13.0,4.0,,X,455141688,99317,2023B
35 W CHAPEL AVE,PA,CARLISLE,17013,1380,6.0,13.0,,X,455141712,99317,2023B
56 W POMFRET ST,PA,CARLISLE,17013,2792,6.0,4.0,,X,455141776,99317,2023B
141 S PITT ST,PA,CARLISLE,17013,1776,6.0,4.0,,X,455141820,99317,2023B
149 S PITT ST,PA,CARLISLE,17013,1455,6.0,4.0,,X,455141828,99317,2023B
