address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
1326 N 6TH ST # 401,PA,HARRISBURG,17102,886,13.0,4.0,8,X,449829228,83649.0,2023B
3516 7TH AVE,PA,HARRISBURG,17111,1324,,4.0,4,X,449850720,121297.0,2023B
3501 8TH AVE,PA,HARRISBURG,17111,1907,,4.0,8,X,449853056,121297.0,2023B
112 ROSS AVE,PA,HARRISBURG,17111,1012,13.0,4.0,8,X,449874912,121297.0,2023B
1827 PIERCE ST,PA,HARRISBURG,17101,1117,,4.0,8,X,449886520,56333.0,2023B
733 COLONIAL AVE,PA,HARRISBURG,17110,976,,4.0,10,X,449945748,112578.0,2023B
119 PINKERTON LN,PA,HARRISBURG,17106,1356,,4.0,8,X,449977720,,
100 PINKERTON LN,PA,HARRISBURG,17106,624,,4.0,8,X,449977984,,
2218 FOXWOOD RD,PA,HARRISBURG,17106,912,,4.0,8,X,449978012,,
198 FOXWOOD RD,PA,HARRISBURG,17106,944,,7.0,8,X,449978032,,
172 FOXWOOD RD,PA,HARRISBURG,17106,1880,,4.0,8,X,449978064,,
119 HILLTOP DR,PA,HARRISBURG,17106,1360,,4.0,8,X,449992316,,
FOXWOOD RD,PA,HARRISBURG,17106,0,,,,X,449992324,,
102 HILLTOP DR,PA,HARRISBURG,17106,1292,,7.0,8,X,449992340,,
523 NORWOOD DR,PA,HARRISBURG,17106,1016,,4.0,8,X,449992352,,
116 ADAMS ST,PA,HARRISBURG,17111,1081,,4.0,8,X,450022048,121297.0,2023B
114 ADAMS ST,PA,HARRISBURG,17111,792,,4.0,8,X,450022064,121297.0,2023B
2508 13TH AVE,PA,HARRISBURG,17101,1041,,4.0,8,X,450055112,56333.0,2023B
1329 BERRYHILL ST,PA,HARRISBURG,17104,1824,,,,X,455531516,65296.0,2023B
1327 BERRYHILL ST,PA,HARRISBURG,17104,1824,,,,X,455531520,65296.0,2023B
1325 BERRYHILL ST,PA,HARRISBURG,17104,1692,,,,X,455531524,65296.0,2023B
1323 BERRYHILL ST,PA,HARRISBURG,17104,1572,,,,X,455531528,65296.0,2023B
1321 BERRYHILL ST,PA,HARRISBURG,17104,1572,,,,X,455531532,65296.0,2023B
1319 BERRYHILL ST,PA,HARRISBURG,17104,1572,,,,X,455531536,65296.0,2023B
1317 BERRYHILL ST,PA,HARRISBURG,17104,1608,,14.0,,X,455531540,65296.0,2023B
1315 BERRYHILL ST,PA,HARRISBURG,17104,1608,,,,X,455531544,65296.0,2023B
1313 BERRYHILL ST,PA,HARRISBURG,17104,1788,,,,X,455531548,65296.0,2023B
1403 BERRYHILL ST,PA,HARRISBURG,17104,2391,,,,X,455531580,65296.0,2023B
1409 BERRYHILL ST,PA,HARRISBURG,17104,1638,1.0,,,X,455531592,65296.0,2023B
1411 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531596,65296.0,2023B
1413 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531600,65296.0,2023B
1415 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531604,65296.0,2023B
1417 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531608,65296.0,2023B
1419 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531612,65296.0,2023B
1421 BERRYHILL ST,PA,HARRISBURG,17104,1638,1.0,,,X,455531616,65296.0,2023B
1423 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531620,65296.0,2023B
1425 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531624,65296.0,2023B
1431 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531636,65296.0,2023B
1433 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531640,65296.0,2023B
1435 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531644,65296.0,2023B
1437 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531648,65296.0,2023B
1439 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531652,65296.0,2023B
1441 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531656,65296.0,2023B
1443 BERRYHILL ST,PA,HARRISBURG,17104,1638,1.0,,,X,455531660,65296.0,2023B
1445 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531664,65296.0,2023B
1447 BERRYHILL ST,PA,HARRISBURG,17104,1638,,,,X,455531668,65296.0,2023B
511 S 14TH ST,PA,HARRISBURG,17104,1624,,,,X,455531676,65296.0,2023B
513 S 14TH ST,PA,HARRISBURG,17104,1748,,,,X,455531680,65296.0,2023B
515 S 14TH ST,PA,HARRISBURG,17104,1713,,,,X,455531684,65296.0,2023B
517 S 14TH ST,PA,HARRISBURG,17104,1528,,,,X,455531688,65296.0,2023B
519 S 14TH ST,PA,HARRISBURG,17104,1528,,,,X,455531692,65296.0,2023B
521 S 14TH ST,PA,HARRISBURG,17104,1512,,,,X,455531696,65296.0,2023B
1410 NAUDAIN ST,PA,HARRISBURG,17104,1624,,,,X,455531700,65296.0,2023B
1412 NAUDAIN ST,PA,HARRISBURG,17104,1528,,,,X,455531704,65296.0,2023B
1414 NAUDAIN ST,PA,HARRISBURG,17104,1528,,,,X,455531708,65296.0,2023B
